7	13	28	47	58
10	17	25	30	83
15	27	54	62	76
19	38	53	58	71
6	9	35	79	85
13	24	34	45	59
27	50	65	67	83
25	40	48	68	82
2	4	44	48	73
2	43	72	74	82
28	37	53	68	84
10	32	40	70	82
8	15	20	32	34
20	51	54	59	86
11	36	39	68	84
16	25	32	72	85
20	58	72	80	90
5	32	36	48	61
2	4	43	53	70
5	39	51	83	84
5	20	37	75	78
8	27	60	71	75
4	18	39	41	54
5	21	32	38	81
16	30	32	58	79
15	35	37	46	72
2	3	22	42	55
4	8	12	40	44
1	7	39	40	58
18	33	36	48	60
12	22	24	49	65
3	16	21	43	60
7	15	19	33	71
7	10	33	34	78
15	31	60	67	76
12	19	32	47	59
5	17	31	61	68
18	41	42	48	52
24	38	50	75	76
12	19	20	34	36
